7	28207893
1	93392569
11	47310908
2	21043880
3	58403009
12	120909182
16	51103628
11	2961502
15	96123673
2	15646393
3	141987266
10	124794519
20	63719066
6	89412258
2	28462948
2	111120967
3	51081896
5	111081805
12	123361730
15	67241041
2	28462948
2	111120967
3	51081896
10	5998471
10	92837098
13	50322020
1	26920756
3	171780542
19	17142167
22	29967918
12	48093720
14	64247333
15	75954432
17	61373093
14	64247333
15	75954432
17	61373093
1	213990134
2	203447168
3	141378186
16	81548131
2	128318870
12	12725746
22	29967918
1	227289889
2	23985603
2	128318870
3	128484637
8	129678481
1	153927592
7	99060379
15	65725677
16	67195891
19	4426168
22	32501483
7	99060379
15	65725677
16	67195891
22	32501483
1	150579759
2	105893985
3	15661266
15	50104867
17	2593591
17	29514998
17	35544529
18	69868804
19	16090287
4	56858492
11	119206290
16	67195891
17	46006926
19	17142167
8	129599504
15	51223259
8	129592780
2	111116813
11	8824204
11	119206290
12	47810805
17	7823348
1	3170058
1	204557905
1	225726659
2	23870286
2	111116813
4	7039091
11	119206290
15	41962543
16	88485441
17	2593591
17	10277612
20	1949439
1	114637083
1	230901420
6	41820182
20	19921850
2	8620964
14	64247333
15	40020722
15	75954432
16	67195891
17	61373093
3	171780542
17	32142452
19	16130154
19	17142167
1	23491439
2	207588729
8	58482877
20	34384148
5	128014207
12	12725746
3	136197983
3	142045613
17	61373093
2	12793866
3	136449901
10	44390336
